,ndvi,dli,prate,time,wind_speed,wind_speed_max,tdew_at_mint,gdd,mint_time,maxt,ea,wind_speed_min,cl,lfairdelta,tdew,wind_direction,sunshine_duration,rh_at_maxt,maxt_time,lat,wind_heading,lfw,rh_at_mint,kc,mint,gdd_cumulative,crop_water_demand,low_quality,gdd_source,gdd_cumulative_source,meant,sample_pct,precip_hours,location,mean_tbelow,swdw,slp,min_rh,max_tdew,device,vpd,long,etc,et,precip
0,,,0.4,2018-06-08T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b1aae2ef2a0ff00019bedf1,,,,,,A000667,,,,,0.4
1,0.14,35.54,,2018-06-09T00:00:00Z,,,,,,25.1,,,0.33,6.9,,,,,,42.123,,,,0.03,15.1,,,,,,19.8,,,5b1aae2ef2a0ff00019bedf1,,26.4,101.9,,,A000667,,-71.8054,0.2,5.5,
2,0.13,24.84,,2018-06-10T00:00:00Z,,,,,,21.7,,,0.33,5.5,,,,,,42.123,,,,0.02,14.5,,,,,,17.7,,,5b1aae2ef2a0ff00019bedf1,,18.5,101.7,,,A000667,,-71.8054,0.1,3.8,
3,0.14,31.74,,2018-06-11T00:00:00Z,,,,,,21.5,,,0.34,10.1,,,,,,42.123,,,,0.04,11.6,,,,,,15.4,,,5b1aae2ef2a0ff00019bedf1,,23.6,101.8,,,A000667,,-71.8054,0.2,4.4,
4,0.14,40.12,0.8,2018-06-12T00:00:00Z,,,,,,20.4,,,0.34,8.1,,,,,,42.123,,,,0.04,10.0,,,,,,15.2,,,5b1aae2ef2a0ff00019bedf1,,29.8,102.1,,,A000667,,-71.8054,0.2,5.4,0.8
5,0.14,13.49,0.3,2018-06-13T00:00:00Z,,,,,,19.6,,,0.32,3.4,,,,,,42.123,,,,0.04,12.7,,,,,,16.6,,,5b1aae2ef2a0ff00019bedf1,,10.0,101.4,,,A000667,,-71.8054,0.0,1.2,0.3
6,0.15,34.76,0.2,2018-06-14T00:00:00Z,,,,,,21.2,,,0.34,7.8,,,,,,42.123,,,,0.05,16.2,,,,,,19.0,,,5b1aae2ef2a0ff00019bedf1,,25.8,100.5,,,A000667,,-71.8054,0.3,4.9,0.2
7,0.21,12.8,0.4,2018-06-15T00:00:00Z,,,,,,18.5,,,0.4,2.5,,,,,,42.123,,,,0.13,13.5,,,,,,15.4,,,5b1aae2ef2a0ff00019bedf1,,9.5,101.2,,,A000667,,-71.8054,0.2,1.4,0.4
8,0.15,37.11,,2018-06-16T00:00:00Z,,,,,,26.4,,,0.34,7.2,,,,,,42.123,,,,0.05,12.0,,,,,,19.3,,,5b1aae2ef2a0ff00019bedf1,,27.6,101.5,,,A000667,,-71.8054,0.3,5.4,
9,0.15,41.37,,2018-06-17T00:00:00Z,,,,,,29.6,,,0.33,8.3,,,,,,42.123,,,,0.05,16.1,,,,,,23.4,,,5b1aae2ef2a0ff00019bedf1,,30.8,101.7,,,A000667,,-71.8054,0.3,6.6,
10,0.18,31.27,7.1,2018-06-18T00:00:00Z,,,,,,26.8,,,0.33,6.2,,,,,,42.123,,,,0.09,18.1,,,,,,22.0,,,5b1aae2ef2a0ff00019bedf1,,23.3,101.4,,,A000667,,-71.8054,0.4,4.1,7.1
11,0.26,42.79,2.8,2018-06-19T00:00:00Z,,,,,,24.6,,,0.39,5.4,,,,,,42.123,,,,0.2,18.5,,,,,,21.2,,,5b1aae2ef2a0ff00019bedf1,,31.8,100.8,,,A000667,,-71.8054,1.3,6.2,2.8
12,0.25,29.48,,2018-06-20T00:00:00Z,,,,,,23.5,,,0.37,7.1,,,,,,42.123,,,,0.19,14.9,,,,,,19.6,,,5b1aae2ef2a0ff00019bedf1,,21.9,101.2,,,A000667,,-71.8054,0.8,4.2,
13,0.25,35.33,,2018-06-21T00:00:00Z,,,,,,28.1,,,0.35,6.9,,,,,,42.123,,,,0.19,16.2,,,,,,20.8,,,5b1aae2ef2a0ff00019bedf1,,26.3,100.8,,,A000667,,-71.8054,1.0,5.1,
14,0.28,36.59,,2018-06-22T00:00:00Z,,,,,,24.2,,,0.36,7.9,,,,,,42.123,,,,0.23,13.5,,,,,,17.9,,,5b1aae2ef2a0ff00019bedf1,,27.2,101.6,,,A000667,,-71.8054,1.2,5.1,
15,0.3,9.23,0.0,2018-06-23T00:00:00Z,,,,,,16.8,,,0.36,3.5,,,,,,42.123,,,,0.27,13.5,,,,,,14.4,,,5b1aae2ef2a0ff00019bedf1,,6.9,101.5,,,A000667,,-71.8054,0.2,0.8,0.0
16,0.33,23.05,5.6,2018-06-24T00:00:00Z,,,,,,21.9,,,0.37,7.3,,,,,,42.123,,,,0.31,13.4,,,,,,17.6,,,5b1aae2ef2a0ff00019bedf1,,17.1,101.0,,,A000667,,-71.8054,0.8,2.5,5.6
17,0.37,38.42,0.1,2018-06-25T00:00:00Z,,,,,,20.4,,,0.4,5.5,,,,,,42.123,,,,0.36,13.5,,,,,,17.9,,,5b1aae2ef2a0ff00019bedf1,,28.6,101.3,,,A000667,,-71.8054,1.9,5.3,0.1
18,0.34,41.36,,2018-06-26T00:00:00Z,,,,,,22.0,,,0.38,9.3,,,,,,42.123,,,,0.33,11.1,,,,,,17.5,,,5b1aae2ef2a0ff00019bedf1,,30.8,102.3,,,A000667,,-71.8054,1.9,5.9,
19,0.4,22.87,0.1,2018-06-27T00:00:00Z,,,,,,20.5,,,0.39,7.1,,,,,,42.1229,,,,0.41,14.7,,,,,,17.5,,,5b1aae2ef2a0ff00019bedf1,,17.0,102.0,,,A000667,,-71.8054,1.1,2.7,0.1
