,wind_speed_max,prate,time,wind_speed,maxt,ea,p,wind_speed_min,wind_direction,tdew,b1dw,b5dw,rh_at_maxt,tair,b4dw,lat,wind_heading,lfw,mint,pardw,b3uw,b5uw,b3dw,rh,paruw,low_quality,b4uw,b2uw,lwdw,b7uw,sample_pct,lwuw,b1uw,location,b6dw,swdw,b6uw,slp,max_tdew,min_rh,device,b2dw,vpd,swuw,long,tabove,etc,et,tbelow,precip,et_version,b7dw
0,,0.4,2018-06-08T16:00:00Z,,,,99.1,,,11.6,16.814,22.252,,23.1,35.277,42.123,,,,954.0,1.42,2.317,28.699,0.48,-79.5,,3.379,1.566,362.3,0.622,,-464.8,1.222,5b1aae2ef2a0ff00019bedf1,23.315,709.5,3.184,102.0,,,A000667,29.474,,-82.8,-71.8054,9.5,,,27.7,0.4,,3.946
1,,,2018-06-08T17:00:00Z,,,,99.0,,,10.9,16.056,19.771,,22.5,31.306,42.123,,,,855.5,1.401,2.07,25.848,0.48,-69.2,,3.265,1.376,345.1,0.5,,-465.4,0.813,5b1aae2ef2a0ff00019bedf1,20.413,636.3,2.852,101.9,,,A000667,26.687,,-72.1,-71.8054,6.1,,,27.8,,,3.258
2,,,2018-06-08T18:00:00Z,,,,99.0,,,11.2,19.842,26.271,,22.8,42.18,42.123,,,,1069.9,1.839,2.856,32.824,0.48,-90.5,,4.497,1.821,325.3,0.685,,-473.5,1.02,5b1aae2ef2a0ff00019bedf1,26.297,795.7,3.811,101.9,,,A000667,34.587,,-94.3,-71.8054,2.0,,,29.1,,,4.288
3,,,2018-06-08T19:00:00Z,,,,98.9,,,11.5,17.079,22.959,,23.2,36.473,42.123,,,,836.1,1.716,2.655,28.761,0.48,-75.6,,4.154,1.684,332.8,0.64,,-471.9,0.921,5b1aae2ef2a0ff00019bedf1,23.622,621.9,3.604,101.8,,,A000667,30.15,,-78.7,-71.8054,3.6,,,28.8,,,3.784
4,,,2018-06-08T20:00:00Z,,,,98.9,,,11.7,12.712,16.74,,23.4,27.088,42.123,,,,665.6,1.396,2.173,21.701,0.48,-64.3,,3.358,1.364,335.2,0.516,,-469.3,0.735,5b1aae2ef2a0ff00019bedf1,17.559,495.0,2.995,101.8,,,A000667,22.461,,-67.0,-71.8054,4.1,,,28.4,,,2.753
5,,,2018-06-08T21:00:00Z,,,,98.9,,,12.3,3.003,3.465,,23.8,4.852,42.123,,,,174.5,0.29,0.425,4.608,0.49,-17.0,,0.631,0.279,366.4,0.099,,-451.9,0.169,5b1aae2ef2a0ff00019bedf1,4.113,129.8,0.671,101.7,,,A000667,4.488,,-17.7,-71.8054,10.3,,,25.6,,,0.577
6,,,2018-06-08T22:00:00Z,,,,98.9,,,12.8,2.961,3.354,,23.2,4.901,42.123,,,,177.3,0.322,0.479,4.643,0.52,-19.8,,0.719,0.304,359.7,0.118,,-445.3,0.168,5b1aae2ef2a0ff00019bedf1,3.987,131.8,0.747,101.8,,,A000667,4.497,,-20.6,-71.8054,9.0,,,24.5,,,0.6
7,,,2018-06-08T23:00:00Z,,,,98.9,,,13.2,1.481,1.396,,22.7,2.022,42.123,,,,73.9,0.152,0.223,2.052,0.55,-9.5,,0.336,0.144,348.0,0.051,,-438.1,0.09,5b1aae2ef2a0ff00019bedf1,1.694,55.0,0.362,101.8,,,A000667,2.003,,-9.9,-71.8054,6.7,,,23.3,,,0.24
8,,,2018-06-09T00:00:00Z,,,,99.0,,,12.8,0.107,0.066,,20.6,0.099,42.123,,,,6.4,0.06,0.044,0.101,0.61,-3.0,,0.107,0.041,343.2,0.012,,-420.8,0.057,5b1aae2ef2a0ff00019bedf1,0.135,4.8,0.105,101.9,,,A000667,0.095,,-3.1,-71.8054,5.7,,,20.3,,,0.016
9,,,2018-06-09T01:00:00Z,,,,99.0,,,12.3,0.055,0.044,,20.1,0.08,42.123,,,,1.8,0.057,0.042,0.057,0.61,-2.9,,0.099,0.04,348.3,0.012,,-417.4,0.057,5b1aae2ef2a0ff00019bedf1,0.113,1.3,0.111,101.9,,,A000667,0.039,,-3.0,-71.8054,6.7,,,19.7,,,0.013
10,,,2018-06-09T02:00:00Z,,,,99.0,,,13.1,0.053,0.041,,19.3,0.074,42.123,,,,1.7,0.057,0.039,0.059,0.68,-2.7,,0.103,0.036,346.0,0.012,,-414.3,0.056,5b1aae2ef2a0ff00019bedf1,0.114,1.3,0.108,102.0,,,A000667,0.04,,-2.9,-71.8054,6.3,,,19.2,,,0.012
11,,,2018-06-09T03:00:00Z,,,,99.0,,,12.2,0.053,0.044,,19.1,0.076,42.123,,,,1.7,0.056,0.039,0.057,0.64,-2.9,,0.108,0.038,347.8,0.012,,-412.8,0.055,5b1aae2ef2a0ff00019bedf1,0.114,1.3,0.107,101.9,,,A000667,0.039,,-3.0,-71.8054,6.6,,,18.9,,,0.013
12,,,2018-06-09T04:00:00Z,,,,99.0,,,13.4,0.05,0.042,,18.0,0.077,42.123,,,,1.7,0.056,0.04,0.053,0.75,-2.7,,0.105,0.038,336.7,0.012,,-406.5,0.054,5b1aae2ef2a0ff00019bedf1,0.113,1.3,0.102,101.9,,,A000667,0.038,,-2.8,-71.8054,4.4,,,17.8,,,0.012
13,,,2018-06-09T05:00:00Z,,,,99.0,,,13.9,0.047,0.043,,16.8,0.074,42.123,,,,1.7,0.053,0.037,0.051,0.83,-2.6,,0.102,0.037,332.5,0.011,,-401.0,0.053,5b1aae2ef2a0ff00019bedf1,0.101,1.3,0.104,102.0,,,A000667,0.036,,-2.7,-71.8054,3.5,,,16.8,,,0.012
14,,,2018-06-09T06:00:00Z,,,,99.0,,,12.5,0.05,0.04,,17.0,0.067,42.123,,,,1.8,0.057,0.036,0.052,0.75,-2.6,,0.096,0.037,332.4,0.011,,-401.4,0.053,5b1aae2ef2a0ff00019bedf1,0.107,1.3,0.099,102.0,,,A000667,0.038,,-2.8,-71.8054,3.5,,,16.9,,,0.013
15,,,2018-06-09T07:00:00Z,,,,99.0,,,10.5,0.047,0.042,,16.5,0.075,42.123,,,,1.7,0.053,0.038,0.052,0.68,-2.5,,0.103,0.036,329.5,0.012,,-399.3,0.055,5b1aae2ef2a0ff00019bedf1,0.106,1.3,0.097,102.0,,,A000667,0.038,,-2.6,-71.8054,2.9,,,16.5,,,0.012
16,,,2018-06-09T08:00:00Z,,,,99.1,,,9.5,0.049,0.04,,15.9,0.071,42.123,,,,1.7,0.055,0.034,0.055,0.66,-2.6,,0.096,0.038,325.5,0.012,,-396.0,0.051,5b1aae2ef2a0ff00019bedf1,0.103,1.2,0.102,102.0,,,A000667,0.037,,-2.7,-71.8054,2.1,,,15.9,,,0.011
17,,,2018-06-09T09:00:00Z,,,,99.1,,,7.6,0.481,0.453,,15.1,0.543,42.123,,,,25.8,0.064,0.065,0.617,0.61,-3.8,,0.12,0.05,324.3,0.019,,-393.3,0.063,5b1aae2ef2a0ff00019bedf1,0.573,19.2,0.131,102.1,,,A000667,0.588,,-4.0,-71.8054,1.8,,,15.4,,,0.102
18,,,2018-06-09T10:00:00Z,,,,99.1,,,6.2,2.508,2.145,,15.8,2.891,42.123,,,,117.3,0.238,0.267,3.202,0.53,-12.7,,0.466,0.229,332.8,0.075,,-400.1,0.159,5b1aae2ef2a0ff00019bedf1,2.637,87.3,0.438,102.1,,,A000667,3.165,,-13.2,-71.8054,3.6,,,16.6,,,0.421
19,,,2018-06-09T11:00:00Z,,,,99.2,,,6.1,5.626,6.393,,16.5,9.335,42.123,,,,344.9,0.578,0.664,9.06,0.5,-30.5,,1.205,0.545,343.6,0.2,,-412.5,0.351,5b1aae2ef2a0ff00019bedf1,7.421,256.5,1.033,102.1,,,A000667,8.712,,-31.8,-71.8054,5.8,,,18.8,,,1.305
20,,,2018-06-09T12:00:00Z,,,,99.1,,,6.1,11.416,14.386,,17.9,22.163,42.123,,,,703.7,1.134,1.468,19.466,0.46,-58.1,,2.53,1.077,346.5,0.424,,-434.2,0.613,5b1aae2ef2a0ff00019bedf1,15.352,523.4,2.131,102.1,,,A000667,19.262,,-60.5,-71.8054,6.4,,,22.6,,,2.756
21,,,2018-06-09T13:00:00Z,,,,99.1,,,5.8,15.989,20.748,,19.5,32.653,42.123,,,,954.8,1.449,2.018,27.136,0.41,-74.6,,3.394,1.402,342.0,0.573,,-451.4,0.803,5b1aae2ef2a0ff00019bedf1,21.138,710.1,2.795,102.0,,,A000667,27.478,,-77.7,-71.8054,5.5,,,25.5,,,3.925
22,,,2018-06-09T14:00:00Z,,,,99.0,,,5.9,20.36,26.891,,20.5,42.848,42.123,,,,1156.9,1.764,2.565,34.269,0.39,-88.9,,4.251,1.73,335.0,0.716,,-464.4,0.982,5b1aae2ef2a0ff00019bedf1,26.647,860.4,3.43,101.9,,,A000667,35.368,,-92.7,-71.8054,4.1,,,27.6,,,5.027
23,,,2018-06-09T15:00:00Z,,,,99.0,,,6.1,22.283,30.48,,21.5,47.653,42.123,,,,1253.2,1.915,2.961,37.007,0.37,-97.2,,4.719,1.899,332.3,0.797,,-473.2,1.058,5b1aae2ef2a0ff00019bedf1,29.888,932.0,3.91,101.9,,,A000667,38.992,,-101.2,-71.8054,3.5,,,29.0,,,5.546
24,,,2018-06-09T16:00:00Z,,,,99.0,,,7.0,22.902,32.11,,23.0,49.589,42.123,,,,1277.6,2.001,3.231,37.667,0.36,-102.1,,5.023,2.008,329.4,0.822,,-483.6,1.113,5b1aae2ef2a0ff00019bedf1,31.329,950.2,4.214,101.9,,,A000667,40.378,,-106.3,-71.8054,2.9,,,30.7,,,5.582
25,,,2018-06-09T17:00:00Z,,,,98.9,,,6.6,15.194,20.21,,22.7,30.541,42.123,,,,859.1,1.423,2.208,24.851,0.35,-73.7,,3.359,1.399,338.5,0.578,,-471.3,0.803,5b1aae2ef2a0ff00019bedf1,20.959,638.9,3.047,101.8,,,A000667,25.991,,-76.8,-71.8054,4.8,,,28.7,,,3.654
