,meant,ndvi,precip,lfairdelta,mint_time,wind_speed_max,mean_tbelow,ea,gdd_cumulative_source,kc,rh_at_mint,time,sunshine_duration,lat,et,gdd,etc,wind_speed_min,long,slp,crop_water_demand,rh_at_maxt,maxt,mint,vpd,max_tdew,wind_speed,prate,swdw,sample_pct,location,precip_hours,wind_direction,gdd_cumulative,min_rh,maxt_time,tdew_at_mint,wind_heading,lfw,cl,device,low_quality,tdew,gdd_source,dli
0,19.7,0.16,,7.7,,,,,,0.07,,2018-06-09T00:00:00Z,,42.1207,5.2,,0.3,,-71.8069,101.9,,,23.5,15.0,,,,,26.1,,5b1a96b0f2a0ff00019bedd6,,,,,,,,,0.33,A000671,,,,35.07
1,17.6,0.16,0.0,5.7,,,,,,0.06,,2018-06-10T00:00:00Z,,42.1207,3.7,,0.2,,-71.8069,101.7,,,21.8,14.4,,,,0.0,18.2,,5b1a96b0f2a0ff00019bedd6,,,,,,,,,0.33,A000671,,,,24.51
2,15.0,0.16,0.0,10.8,,,,,,0.07,,2018-06-11T00:00:00Z,,42.1207,4.1,,0.3,,-71.8069,101.8,,,20.8,11.4,,,,0.0,23.4,,5b1a96b0f2a0ff00019bedd6,,,,,,,,,0.34,A000671,,,,31.44
3,15.1,0.16,1.3,9.3,,,,,,0.07,,2018-06-12T00:00:00Z,,42.1207,5.0,,0.3,,-71.8069,102.1,,,20.4,9.9,,,,1.3,29.2,,5b1a96b0f2a0ff00019bedd6,,,,,,,,,0.34,A000671,,,,39.21
4,16.5,0.17,0.3,3.9,,,,,,0.08,,2018-06-13T00:00:00Z,,42.1207,1.1,,0.1,,-71.8069,101.4,,,19.4,12.6,,,,0.3,10.2,,5b1a96b0f2a0ff00019bedd6,,,,,,,,,0.36,A000671,,,,13.74
5,18.7,0.18,3.9,7.2,,,,,,0.09,,2018-06-14T00:00:00Z,,42.1207,4.3,,0.4,,-71.8069,100.6,,,21.0,16.0,,,,3.9,24.8,,5b1a96b0f2a0ff00019bedd6,,,,,,,,,0.34,A000671,,,,33.35
6,15.0,0.22,0.4,2.9,,,,,,0.15,,2018-06-15T00:00:00Z,,42.1207,1.0,,0.1,,-71.8069,101.2,,,18.7,13.1,,,,0.4,8.3,,5b1a96b0f2a0ff00019bedd6,,,,,,,,,0.39,A000671,,,,11.18
7,19.4,0.17,0.0,7.7,,,,,,0.08,,2018-06-16T00:00:00Z,,42.1207,5.0,,0.4,,-71.8069,101.5,,,26.9,12.1,,,,0.0,27.5,,5b1a96b0f2a0ff00019bedd6,,,,,,,,,0.31,A000671,,,,37.02
8,23.9,0.17,,7.4,,,,,,0.08,,2018-06-17T00:00:00Z,,42.1207,5.8,,0.5,,-71.8069,101.7,,,32.5,17.2,,,,,29.3,,5b1a96b0f2a0ff00019bedd6,,,,,,,,,0.27,A000671,,,,39.42
9,22.4,0.2,6.9,5.8,,,,,,0.12,,2018-06-18T00:00:00Z,,42.1207,3.7,,0.5,,-71.8069,101.4,,,27.8,17.9,,,,6.9,22.2,,5b1a96b0f2a0ff00019bedd6,,,,,,,,,0.31,A000671,,,,29.88
