,lwuw,ea,b7dw,b6dw,b4dw,time,tbelow,prate,b1uw,b6uw,rh,b3dw,tabove,slp,wind_speed,et,vpd,etc,min_rh,b3uw,b5uw,b7uw,sample_pct,location,max_tdew,et_version,maxt,b1dw,lwdw,wind_speed_min,swdw,tdew,wind_heading,device,pardw,b2dw,b4uw,low_quality,lat,p,rh_at_maxt,swuw,wind_speed_max,lfw,b2uw,paruw,precip,mint,tair,long,wind_direction,b5dw
0,-444.6,,,,,2018-06-06T17:00:00Z,24.4,,,,0.45,,13.8,66.7,,,,,,,,,,5b1821940cdb4000019d013c,,,,,384.6,,3.6,12.4,,A000671,4.9,,,,0.0,99.4,,-4.1,,,,-3.9,,,25.2,0.0,,
1,-449.1,,0.041,0.238,0.342,2018-06-06T18:00:00Z,25.1,,0.057,0.134,0.42,0.342,13.0,66.7,,,,,,0.059,0.039,0.014,,5b1821940cdb4000019d013c,,,,0.153,380.4,,8.1,11.6,,A000671,10.9,0.275,0.107,,0.0,99.4,,-3.3,,,0.038,-3.2,,,25.4,0.0,,0.176
2,-450.1,,0.039,0.227,0.332,2018-06-06T18:00:00Z,25.3,,0.057,0.134,0.42,0.331,13.1,102.4,,,,,,0.058,0.039,0.014,,5b1a87cb6fdbf300016247fa,,,,0.147,380.9,,7.8,11.8,,A000671,10.5,0.266,0.106,,42.1216,99.4,,-3.3,,,0.038,-3.2,,,25.6,-71.8062,,0.166
3,-448.5,,0.517,20.164,28.394,2018-06-08T13:00:00Z,25.0,0.0,0.826,4.121,0.57,25.127,8.9,102.1,,,,,,2.318,2.634,0.7,,5b1a87cb6fdbf300016247fa,,,,14.327,359.1,,629.1,12.9,,A000671,845.9,22.222,4.196,,42.1216,99.1,,-122.4,,,2.023,-117.5,0.0,,21.7,-71.8062,,17.376
4,-460.0,,0.016,20.205,30.564,2018-06-08T14:00:00Z,26.9,,1.098,3.538,0.57,25.892,11.5,102.1,,,,,,2.017,2.442,0.582,,5b1a96b0f2a0ff00019bedd6,,,,14.475,372.6,,639.3,12.9,,A000671,859.6,22.909,3.879,,42.1207,99.1,,-121.8,,,1.905,-116.9,,,22.0,-71.8069,,18.468
5,-469.5,,0.658,23.73,38.858,2018-06-08T15:00:00Z,28.4,,0.686,3.6,0.52,31.721,6.2,102.0,,,,,,1.734,2.514,0.619,,5b1a96b0f2a0ff00019bedd6,,,,18.391,345.5,,807.5,11.2,,A000671,1085.8,28.697,3.69,,42.1207,99.0,,-104.0,,,1.592,-99.8,,,21.4,-71.8069,,22.954
6,-473.1,,3.844,23.793,36.684,2018-06-08T16:00:00Z,29.0,,0.565,3.103,0.5,29.946,4.2,101.9,,,,,,1.63,2.216,0.539,,5b1a96b0f2a0ff00019bedd6,,,,18.099,335.6,,895.0,10.0,,A000671,1203.4,27.358,3.436,,42.1207,98.9,,-110.2,,,1.479,-105.8,,,20.7,-71.8069,,22.622
7,-461.7,,0.018,19.75,29.626,2018-06-08T17:00:00Z,27.2,,0.518,2.792,0.49,25.313,6.5,101.9,,,,,,1.485,1.91,0.475,,5b1a96b0f2a0ff00019bedd6,,,,15.439,347.1,,602.7,10.6,,A000671,810.3,22.958,2.998,,42.1207,98.9,,-82.2,,,1.331,-78.9,,,21.7,-71.8069,,18.126
8,-470.1,,0.019,23.44,36.007,2018-06-08T18:00:00Z,28.5,,0.599,3.463,0.49,29.777,3.6,101.8,,,,,,1.807,2.405,0.593,,5b1a96b0f2a0ff00019bedd6,,,,17.703,333.0,,754.2,10.8,,A000671,1014.0,27.222,3.761,,42.1207,98.8,,-106.2,,,1.625,-102.0,,,21.9,-71.8069,,21.765
9,-468.3,,0.018,17.835,26.677,2018-06-08T19:00:00Z,28.3,,0.488,2.816,0.49,22.38,4.5,101.7,,,,,,1.467,1.938,0.472,,5b1a96b0f2a0ff00019bedd6,,,,13.47,337.4,,580.8,11.1,,A000671,780.9,20.434,3.02,,42.1207,98.8,,-87.7,,,1.314,-84.2,,,22.5,-71.8069,,16.262
10,-469.1,,0.017,11.919,17.914,2018-06-08T20:00:00Z,28.4,,0.383,1.993,0.49,15.554,4.4,101.7,,,,,,1.069,1.349,0.329,,5b1a96b0f2a0ff00019bedd6,,,,9.721,336.7,,479.4,11.5,,A000671,644.6,14.146,2.147,,42.1207,98.7,,-77.9,,,0.958,-74.8,,,22.9,-71.8069,,10.728
11,-450.1,,0.501,5.068,6.107,2018-06-08T21:00:00Z,25.3,,0.149,0.859,0.49,5.859,10.2,101.7,,,,,,0.426,0.527,0.128,,5b1a96b0f2a0ff00019bedd6,,,,3.659,365.6,,125.5,12.0,,A000671,168.7,5.137,0.787,,42.1207,98.8,,-20.8,,,0.37,-19.9,,,23.3,-71.8069,,4.121
12,-446.1,,0.69,4.068,5.246,2018-06-08T22:00:00Z,24.6,,0.121,0.842,0.52,5.096,9.0,101.7,,,,,,0.398,0.504,0.128,,5b1a96b0f2a0ff00019bedd6,,,,3.216,359.5,,124.5,12.9,,A000671,167.5,4.464,0.766,,42.1207,98.8,,-23.0,,,0.341,-22.0,,,23.4,-71.8069,,3.322
13,-440.0,,0.253,1.508,2.264,2018-06-08T23:00:00Z,23.6,,0.073,0.507,0.55,2.353,6.3,101.8,,,,,,0.224,0.301,0.072,,5b1a96b0f2a0ff00019bedd6,,,,1.705,346.0,,53.8,13.3,,A000671,72.4,2.103,0.437,,42.1207,98.8,,-12.0,,,0.19,-11.5,,,22.9,-71.8069,,1.287
14,-425.1,,0.046,0.281,0.312,2018-06-09T00:00:00Z,21.1,,0.052,0.131,0.59,0.361,5.5,101.8,,,,,,0.055,0.045,0.013,,5b1a96b0f2a0ff00019bedd6,,,,0.306,342.2,,5.7,12.7,,A000671,7.6,0.318,0.104,,42.1207,98.8,,-3.1,,,0.036,-2.9,,,21.0,-71.8069,,0.198
15,-422.5,,0.014,0.128,0.072,2018-06-09T01:00:00Z,20.6,,0.052,0.121,0.57,0.061,6.9,101.9,,,,,,0.053,0.036,0.013,,5b1a96b0f2a0ff00019bedd6,,,,0.059,349.0,,1.5,12.0,,A000671,2.0,0.039,0.098,,42.1207,98.9,,-3.0,,,0.03,-2.9,,,20.9,-71.8069,,0.029
16,-421.5,,0.014,0.118,0.066,2018-06-09T02:00:00Z,20.4,,0.049,0.126,0.61,0.065,6.9,101.9,,,,,,0.056,0.034,0.013,,5b1a96b0f2a0ff00019bedd6,,,,0.061,349.1,,1.5,12.8,,A000671,2.0,0.038,0.095,,42.1207,98.9,,-2.9,,,0.029,-2.8,,,20.7,-71.8069,,0.029
17,-418.4,,0.014,0.124,0.07,2018-06-09T03:00:00Z,19.9,,0.052,0.122,0.6,0.061,6.6,101.9,,,,,,0.048,0.03,0.013,,5b1a96b0f2a0ff00019bedd6,,,,0.058,347.6,,1.5,12.0,,A000671,2.0,0.037,0.099,,42.1207,98.9,,-2.9,,,0.029,-2.8,,,20.0,-71.8069,,0.028
18,-413.6,,0.013,0.128,0.067,2018-06-09T04:00:00Z,19.0,,0.052,0.119,0.69,0.065,4.7,101.9,,,,,,0.05,0.035,0.013,,5b1a96b0f2a0ff00019bedd6,,,,0.062,338.2,,1.4,13.6,,A000671,1.9,0.035,0.096,,42.1207,98.9,,-2.9,,,0.027,-2.8,,,19.5,-71.8069,,0.028
19,-407.1,,0.013,0.116,0.072,2018-06-09T05:00:00Z,17.9,,0.05,0.119,0.77,0.057,3.7,101.9,,,,,,0.045,0.033,0.012,,5b1a96b0f2a0ff00019bedd6,,,,0.06,333.3,,1.4,13.7,,A000671,1.9,0.032,0.095,,42.1207,98.9,,-2.7,,,0.028,-2.6,,,17.8,-71.8069,,0.031
20,-404.2,,0.013,0.103,0.064,2018-06-09T06:00:00Z,17.4,,0.049,0.121,0.73,0.059,3.6,101.9,,,,,,0.043,0.034,0.012,,5b1a96b0f2a0ff00019bedd6,,,,0.058,333.0,,1.3,12.1,,A000671,1.8,0.034,0.092,,42.1207,98.9,,-2.8,,,0.029,-2.7,,,17.0,-71.8069,,0.027
21,-401.4,,0.012,0.105,0.066,2018-06-09T07:00:00Z,16.9,,0.048,0.11,0.66,0.06,3.0,101.9,,,,,,0.045,0.031,0.013,,5b1a96b0f2a0ff00019bedd6,,,,0.06,329.7,,1.3,10.1,,A000671,1.7,0.032,0.094,,42.1207,98.9,,-2.7,,,0.024,-2.6,,,16.5,-71.8069,,0.028
22,-397.3,,0.014,0.111,0.066,2018-06-09T08:00:00Z,16.1,,0.045,0.113,0.65,0.058,2.0,102.0,,,,,,0.049,0.032,0.013,,5b1a96b0f2a0ff00019bedd6,,,,0.059,325.3,,1.3,9.1,,A000671,1.8,0.037,0.098,,42.1207,98.9,,-2.7,,,0.026,-2.6,,,15.7,-71.8069,,0.031
23,-395.0,,0.144,0.844,0.787,2018-06-09T09:00:00Z,15.7,,0.05,0.219,0.6,0.923,1.8,102.0,,,,,,0.096,0.103,0.031,,5b1a96b0f2a0ff00019bedd6,,,,0.709,324.4,,21.3,7.3,,A000671,28.6,0.828,0.184,,42.1207,99.0,,-4.7,,,0.077,-4.5,,,15.0,-71.8069,,0.618
24,-405.1,,0.679,3.683,3.994,2018-06-09T10:00:00Z,17.5,,0.11,0.661,0.52,4.18,3.9,102.0,,,,,,0.346,0.381,0.112,,5b1a96b0f2a0ff00019bedd6,,,,2.767,334.1,,116.3,5.9,,A000671,156.3,3.676,0.613,,42.1207,99.0,,-20.8,,,0.299,-20.0,,,15.9,-71.8069,,2.914
25,-418.3,,1.785,8.872,11.68,2018-06-09T11:00:00Z,19.9,,0.253,1.288,0.49,11.151,5.5,102.1,,,,,,0.734,0.803,0.238,,5b1a96b0f2a0ff00019bedd6,,,,6.61,342.2,,286.7,5.9,,A000671,385.5,9.694,1.358,,42.1207,99.0,,-42.0,,,0.641,-40.3,,,16.8,-71.8069,,7.652
26,-439.4,,3.232,15.729,22.554,2018-06-09T12:00:00Z,23.5,,0.397,2.09,0.45,20.337,4.9,102.0,,,,,,1.19,1.363,0.399,,5b1a96b0f2a0ff00019bedd6,,,,11.609,339.1,,540.0,6.0,,A000671,726.0,17.816,2.305,,42.1207,99.0,,-70.3,,,1.044,-67.5,,,18.1,-71.8069,,14.193
27,-454.8,,4.457,21.982,33.289,2018-06-09T13:00:00Z,26.1,,0.519,2.823,0.4,28.729,3.6,102.0,,,,,,1.565,1.923,0.555,,5b1a96b0f2a0ff00019bedd6,,,,16.451,332.9,,715.8,5.5,,A000671,962.4,25.525,3.156,,42.1207,99.0,,-89.7,,,1.396,-86.1,,,19.3,-71.8069,,20.509
28,-467.4,,1.987,25.077,38.907,2018-06-09T14:00:00Z,28.1,,0.591,3.256,0.38,32.421,3.0,101.9,,,,,,1.758,2.281,0.644,,5b1a96b0f2a0ff00019bedd6,,,,18.941,329.9,,855.4,5.6,,A000671,1150.1,29.276,3.655,,42.1207,98.9,,-106.7,,,1.581,-102.4,,,20.4,-71.8069,,23.878
29,-477.8,,0.021,29.718,46.103,2018-06-09T15:00:00Z,29.8,,0.686,3.931,0.35,37.46,2.1,101.9,,,,,,2.072,2.811,0.773,,5b1a96b0f2a0ff00019bedd6,,,,21.999,325.6,,919.6,6.0,,A000671,1236.5,34.331,4.396,,42.1207,98.9,,-118.3,,,1.878,-113.5,,,22.1,-71.8069,,28.512
30,-485.8,,0.021,28.996,44.421,2018-06-09T16:00:00Z,31.0,,0.682,4.001,0.36,35.583,2.0,101.9,,,,,,2.054,2.878,0.751,,5b1a96b0f2a0ff00019bedd6,,,,21.083,325.5,,914.4,6.7,,A000671,1229.4,32.97,4.395,,42.1207,98.9,,-122.5,,,1.873,-117.6,,,22.6,-71.8069,,27.756
31,-469.0,,0.018,22.114,31.99,2018-06-09T17:00:00Z,28.4,,0.559,3.274,0.36,26.944,4.6,101.8,,,,,,1.674,2.252,0.602,,5b1a96b0f2a0ff00019bedd6,,,,16.009,337.7,,621.6,6.3,,A000671,835.7,24.681,3.424,,42.1207,98.8,,-90.1,,,1.507,-86.5,,,22.2,-71.8069,,20.263
32,-471.6,,0.019,22.896,34.005,2018-06-09T18:00:00Z,28.8,,0.596,3.534,0.36,28.301,2.6,101.7,,,,,,1.818,2.447,0.657,,5b1a96b0f2a0ff00019bedd6,,,,16.743,328.3,,707.2,6.2,,A000671,950.9,26.062,3.758,,42.1207,98.8,,-105.6,,,1.64,-101.3,,,21.8,-71.8069,,21.088
33,-468.1,,0.018,19.277,28.186,2018-06-09T19:00:00Z,28.2,,0.538,3.157,0.35,23.794,2.7,101.7,,,,,,1.633,2.16,0.581,,5b1a96b0f2a0ff00019bedd6,,,,14.124,328.5,,593.9,6.2,,A000671,798.6,21.862,3.337,,42.1207,98.7,,-94.7,,,1.468,-90.9,,,22.2,-71.8069,,17.457
34,-463.4,,1.089,13.935,19.95,2018-06-09T20:00:00Z,27.5,,0.414,2.459,0.37,17.408,5.6,101.7,,,,,,1.266,1.633,0.438,,5b1a96b0f2a0ff00019bedd6,,,,10.263,342.6,,429.1,7.3,,A000671,577.0,15.776,2.526,,42.1207,98.7,,-73.1,,,1.126,-70.2,,,22.7,-71.8069,,12.292
