,dli,wind_direction,vpd,ndvi,mean_tbelow,lat,precip_hours,lfairdelta,kc,sample_pct,prate,slp,rh_at_mint,tdew_at_mint,gdd_source,time,lfw,wind_speed_max,max_tdew,swdw,sunshine_duration,ea,rh_at_maxt,device,meant,tdew,maxt_time,low_quality,crop_water_demand,long,mint_time,location,maxt,gdd,gdd_cumulative,wind_speed_min,etc,min_rh,gdd_cumulative_source,cl,et,precip,wind_heading,wind_speed,mint
0,34.82,,,0.16,,42.1218,,8.5,0.06,,,101.8,,,,2018-06-09T00:00:00Z,,,,25.9,,,,A000680,19.6,,,,,-71.8065,,5b1aaa3af2a0ff00019bedea,23.3,,,,0.3,,,-0.04,5.2,,,,15.1
1,24.48,,,0.16,,42.1218,,6.0,0.06,,,101.7,,,,2018-06-10T00:00:00Z,,,,18.2,,,,A000680,17.8,,,,,-71.8065,,5b1aaa3af2a0ff00019bedea,22.4,,,,0.2,,,-0.04,3.8,,,,14.5
2,31.68,,,0.16,,42.1218,,11.0,0.07,,,101.7,,,,2018-06-11T00:00:00Z,,,,23.6,,,,A000680,15.2,,,,,-71.8065,,5b1aaa3af2a0ff00019bedea,22.2,,,,0.3,,,-0.03,4.3,,,,11.5
3,39.85,,,0.16,,42.1218,,10.0,0.06,,0.0,102.1,,,,2018-06-12T00:00:00Z,,,,29.6,,,,A000680,15.2,,,,,-71.8065,,5b1aaa3af2a0ff00019bedea,20.1,,,,0.3,,,-0.03,5.2,0.0,,,10.0
4,13.04,,,0.18,,42.1218,,4.5,0.09,,0.2,101.4,,,,2018-06-13T00:00:00Z,,,,9.7,,,,A000680,16.5,,,,,-71.8065,,5b1aaa3af2a0ff00019bedea,19.5,,,,0.1,,,-0.01,1.1,0.2,,,12.7
5,32.33,,,0.18,,42.1218,,8.3,0.09,,2.3,100.5,,,,2018-06-14T00:00:00Z,,,,24.0,,,,A000680,18.7,,,,,-71.8065,,5b1aaa3af2a0ff00019bedea,20.4,,,,0.4,,,-0.03,4.3,2.3,,,16.2
6,11.09,,,0.26,,42.1218,,3.8,0.21,,0.3,101.2,,,,2018-06-15T00:00:00Z,,,,8.2,,,,A000680,15.2,,,,,-71.8065,,5b1aaa3af2a0ff00019bedea,18.9,,,,0.2,,,0.02,1.1,0.3,,,13.1
7,38.15,,,0.18,,42.1218,,9.1,0.08,,,101.5,,,,2018-06-16T00:00:00Z,,,,28.4,,,,A000680,19.5,,,,,-71.8065,,5b1aaa3af2a0ff00019bedea,26.6,,,,0.5,,,-0.05,5.3,,,,12.3
8,40.39,,,0.17,,42.1218,,8.7,0.07,,,101.7,,,,2018-06-17T00:00:00Z,,,,30.0,,,,A000680,23.8,,,,,-71.8065,,5b1aaa3af2a0ff00019bedea,31.0,,,,0.4,,,-0.07,6.2,,,,17.6
9,30.58,,,0.2,,42.1218,,7.4,0.12,,6.5,101.4,,,,2018-06-18T00:00:00Z,,,,22.7,,,,A000680,22.1,,,,,-71.8065,,5b1aaa3af2a0ff00019bedea,27.0,,,,0.5,,,-0.04,4.0,6.5,,,18.0
10,39.72,,,0.27,,42.1218,,7.3,0.23,,1.7,100.7,,,,2018-06-19T00:00:00Z,,,,29.5,,,,A000680,21.3,,,,,-71.8065,,5b1aaa3af2a0ff00019bedea,25.0,,,,1.2,,,-0.02,5.5,1.7,,,18.3
11,31.23,,,0.27,,42.1218,,7.2,0.22,,0.0,101.1,,,,2018-06-20T00:00:00Z,,,,23.2,,,,A000680,19.6,,,,,-71.8065,,5b1aaa3af2a0ff00019bedea,23.7,,,,1.0,,,-0.02,4.5,0.0,,,14.9
12,37.93,,,0.25,,42.1218,,8.4,0.19,,,100.8,,,,2018-06-21T00:00:00Z,,,,28.2,,,,A000680,20.7,,,,,-71.8065,,5b1aaa3af2a0ff00019bedea,27.7,,,,1.0,,,-0.03,5.4,,,,16.5
13,36.07,,,0.28,,42.1218,,9.2,0.23,,,101.5,,,,2018-06-22T00:00:00Z,,,,26.8,,,,A000680,17.7,,,,,-71.8065,,5b1aaa3af2a0ff00019bedea,23.5,,,,1.1,,,-0.02,4.9,,,,13.6
14,9.16,,,0.33,,42.1218,,4.3,0.31,,0.0,101.5,,,,2018-06-23T00:00:00Z,,,,6.8,,,,A000680,14.2,,,,,-71.8065,,5b1aaa3af2a0ff00019bedea,16.5,,,,0.3,,,0.02,0.8,0.0,,,13.4
15,22.94,,,0.33,,42.1218,,8.4,0.31,,6.5,101.0,,,,2018-06-24T00:00:00Z,,,,17.1,,,,A000680,17.6,,,,,-71.8065,,5b1aaa3af2a0ff00019bedea,22.0,,,,0.7,,,-0.01,2.4,6.5,,,13.2
16,33.59,,,0.38,,42.1218,,8.3,0.38,,0.3,101.2,,,,2018-06-25T00:00:00Z,,,,25.0,,,,A000680,18.0,,,,,-71.8065,,5b1aaa3af2a0ff00019bedea,21.1,,,,1.7,,,0.01,4.4,0.3,,,14.3
17,41.18,,,0.34,,42.1218,,10.7,0.32,,,102.3,,,,2018-06-26T00:00:00Z,,,,30.6,,,,A000680,17.7,,,,,-71.8065,,5b1aaa3af2a0ff00019bedea,23.1,,,,1.9,,,-0.03,5.8,,,,11.3
18,23.58,,,0.41,,42.1218,,8.2,0.42,,0.1,102.0,,,,2018-06-27T00:00:00Z,,,,17.5,,,,A000680,17.5,,,,,-71.8065,,5b1aaa3af2a0ff00019bedea,20.7,,,,1.2,,,0.0,2.9,0.1,,,14.7
19,8.6,,,0.51,,42.1218,,2.9,0.58,,43.3,101.2,,,,2018-06-28T00:00:00Z,,,,6.4,,,,A000680,20.1,,,,,-71.8065,,5b1aaa3af2a0ff00019bedea,22.1,,,,0.1,,,0.05,0.2,43.3,,,17.2
20,42.13,,,0.5,,42.1218,,6.6,0.56,,,101.2,,,,2018-06-29T00:00:00Z,,,,31.3,,,,A000680,23.1,,,,,-71.8065,,5b1aaa3af2a0ff00019bedea,27.6,,,,3.6,,,0.0,6.4,,,,19.4
21,37.14,,,0.53,,42.1218,,6.7,0.6,,,101.6,,,,2018-06-30T00:00:00Z,,,,27.6,,,,A000680,25.3,,,,,-71.8065,,5b1aaa3af2a0ff00019bedea,29.3,,,,3.6,,,0.0,5.9,,,,21.8
22,37.43,,,0.57,,42.1218,,4.2,0.66,,,101.6,,,,2018-07-01T00:00:00Z,,,,27.8,,,,A000680,27.0,,,,,-71.8065,,5b1aaa3af2a0ff00019bedea,35.7,,,,3.9,,,-0.01,6.0,,,,21.3
23,38.8,,,0.6,,42.1218,,6.7,0.7,,,101.8,,,,2018-07-02T00:00:00Z,,,,28.9,,,,A000680,24.8,,,,,-71.8065,,5b1aaa3af2a0ff00019bedea,28.7,,,,3.9,,,0.02,5.5,,,,20.6
24,35.61,,,0.62,,42.1218,,6.2,0.73,,0.0,102.1,,,,2018-07-03T00:00:00Z,,,,26.5,,,,A000680,25.3,,,,,-71.8065,,5b1aaa3af2a0ff00019bedea,30.3,,,,3.7,,,0.01,5.0,0.0,,,20.6
25,40.27,,,0.65,,42.1218,,5.4,0.77,,,102.5,,,,2018-07-04T00:00:00Z,,,,29.9,,,,A000680,27.1,,,,,-71.8065,,5b1aaa3af2a0ff00019bedea,32.7,,,,4.9,,,0.02,6.3,,,,22.8
26,37.98,,,0.68,,42.1218,,7.1,0.82,,,102.4,,,,2018-07-05T00:00:00Z,,,,28.2,,,,A000680,24.7,,,,,-71.8065,,5b1aaa3af2a0ff00019bedea,27.9,,,,4.3,,,0.03,5.2,,,,21.9
27,14.99,,,0.7,,42.1218,,2.3,0.84,,14.7,101.6,,,,2018-07-06T00:00:00Z,,,,11.1,,,,A000680,22.9,,,,,-71.8065,,5b1aaa3af2a0ff00019bedea,24.5,,,,1.4,,,0.1,1.6,14.7,,,16.6
28,41.21,,,0.73,,42.1218,,8.3,0.89,,,102.4,,,,2018-07-07T00:00:00Z,,,,30.7,,,,A000680,17.9,,,,,-71.8065,,5b1aaa3af2a0ff00019bedea,24.1,,,,5.5,,,0.05,6.2,,,,12.1
29,41.14,,,0.73,,42.1218,,6.9,0.89,,,102.6,,,,2018-07-08T00:00:00Z,,,,30.6,,,,A000680,20.7,,,,,-71.8065,,5b1aaa3af2a0ff00019bedea,29.3,,,,5.9,,,0.03,6.6,,,,12.8
30,40.66,,,0.74,,42.1218,,7.1,0.91,,,102.2,,,,2018-07-09T00:00:00Z,,,,30.2,,,,A000680,21.2,,,,,-71.8065,,5b1aaa3af2a0ff00019bedea,27.8,,,,5.6,,,0.04,6.2,,,,15.2
31,39.2,,,0.75,,42.1218,,6.3,0.92,,,101.3,,,,2018-07-10T00:00:00Z,,,,29.2,,,,A000680,23.1,,,,,-71.8065,,5b1aaa3af2a0ff00019bedea,28.9,,,,5.7,,,0.03,6.2,,,,16.6
32,30.84,,,0.74,,42.1218,,4.9,0.9,,,101.3,,,,2018-07-11T00:00:00Z,,,,22.9,,,,A000680,21.4,,,,,-71.8065,,5b1aaa3af2a0ff00019bedea,25.0,,,,,,,0.07,,,,,19.1
33,41.12,,,0.76,,42.1218,,7.0,0.94,,,102.2,,,,2018-07-12T00:00:00Z,,,,30.6,,,,A000680,20.6,,,,,-71.8065,,5b1aaa3af2a0ff00019bedea,27.8,,,,6.0,,,0.05,6.4,,,,14.7
34,31.72,,,0.77,,42.1218,,8.2,0.95,,0.0,102.3,,,,2018-07-13T00:00:00Z,,,,23.6,,,,A000680,20.5,,,,,-71.8065,,5b1aaa3af2a0ff00019bedea,29.4,,,,4.4,,,0.05,4.7,0.0,,,16.7
35,23.32,,,0.75,,42.1218,,5.5,0.93,,,102.0,,,,2018-07-14T00:00:00Z,,,,17.3,,,,A000680,19.7,,,,,-71.8065,,5b1aaa3af2a0ff00019bedea,25.2,,,,2.8,,,0.08,3.0,,,,15.0
36,32.54,,,0.78,,42.1218,,4.9,0.96,,0.0,101.4,,,,2018-07-15T00:00:00Z,,,,24.2,,,,A000680,24.4,,,,,-71.8065,,5b1aaa3af2a0ff00019bedea,35.2,,,,4.8,,,0.05,5.0,0.0,,,18.5
37,29.74,,,0.78,,42.1218,,5.1,0.96,,0.0,101.4,,,,2018-07-16T00:00:00Z,,,,22.1,,,,A000680,24.9,,,,,-71.8065,,5b1aaa3af2a0ff00019bedea,33.8,,,,4.1,,,0.06,4.2,0.0,,,19.9
38,21.07,,,0.78,,42.1218,,5.2,0.97,,37.2,101.1,,,,2018-07-17T00:00:00Z,,,,15.7,,,,A000680,22.0,,,,,-71.8065,,5b1aaa3af2a0ff00019bedea,27.0,,,,2.3,,,0.08,2.3,37.2,,,19.8
39,38.37,,,0.8,,42.1218,,7.5,0.99,,,101.1,,,,2018-07-18T00:00:00Z,,,,28.5,,,,A000680,20.5,,,,,-71.8065,,5b1aaa3af2a0ff00019bedea,24.9,,,,5.6,,,0.08,5.6,,,,17.1
40,40.2,,,0.8,,42.1218,,6.7,1.0,,0.0,101.8,,,,2018-07-19T00:00:00Z,,,,29.9,,,,A000680,20.7,,,,,-71.8065,,5b1aaa3af2a0ff00019bedea,29.2,,,,6.7,,,0.06,6.7,0.0,,,13.4
41,40.21,,,0.81,,42.1218,,6.1,1.0,,,102.1,,,,2018-07-20T00:00:00Z,,,,29.9,,,,A000680,21.1,,,,,-71.8065,,5b1aaa3af2a0ff00019bedea,31.1,,,,6.3,,,0.06,6.3,,,,15.3
42,38.17,,,0.81,,42.1218,,7.8,1.01,,,102.0,,,,2018-07-21T00:00:00Z,,,,28.4,,,,A000680,18.5,,,,,-71.8065,,5b1aaa3af2a0ff00019bedea,23.4,,,,5.4,,,0.09,5.4,,,,13.7
43,13.97,,,0.79,,42.1218,,4.4,0.98,,8.7,101.8,,,,2018-07-22T00:00:00Z,,,,10.4,,,,A000680,19.8,,,,,-71.8065,,5b1aaa3af2a0ff00019bedea,23.4,,,,1.2,,,0.11,1.2,8.7,,,16.0
44,24.58,,,0.81,,42.1218,,4.4,1.0,,1.2,102.3,,,,2018-07-23T00:00:00Z,,,,18.3,,,,A000680,23.0,,,,,-71.8065,,5b1aaa3af2a0ff00019bedea,25.2,,,,2.8,,,0.1,2.8,1.2,,,21.9
45,28.47,,,0.82,,42.1218,,5.5,1.02,,0.3,102.4,,,,2018-07-24T00:00:00Z,,,,21.2,,,,A000680,23.3,,,,,-71.8065,,5b1aaa3af2a0ff00019bedea,25.7,,,,3.7,,,0.1,3.6,0.3,,,22.1
46,17.04,,,0.8,,42.1218,,3.1,0.99,,1.5,101.8,,,,2018-07-25T00:00:00Z,,,,12.7,,,,A000680,22.7,,,,,-71.8065,,5b1aaa3af2a0ff00019bedea,24.3,,,,1.6,,,0.15,1.6,1.5,,,21.5
