,mint,wind_speed_min,paruw,precip,max_tdew,min_rh,tbelow,prate,p,tair,wind_speed_max,maxt,wind_speed,et_version,slp,wind_heading,b3dw,swuw,lat,b1uw,tabove,tdew,b4dw,pardw,ea,b6dw,b2dw,b4uw,b7dw,b1dw,etc,vpd,long,et,low_quality,device,lwdw,b3uw,rh,location,b2uw,b5dw,swdw,wind_direction,b5uw,b6uw,lwuw,rh_at_maxt,lfw,b7uw,sample_pct,time
0,,,-2.7,,,,24.8,,99.2,23.5,,,,,66.4,,0.074,-2.8,0.0,0.046,15.1,10.1,0.098,2.3,,0.128,0.053,0.083,0.014,0.068,,,0.0,,,A000680,391.5,0.048,0.43,5b1822be0cdb4000019d0141,0.03,0.039,1.7,,0.041,0.107,-447.0,,,0.014,,2018-06-06T18:00:00Z
1,,,-2.6,,,,24.7,,99.2,23.5,,,,,102.2,,0.073,-2.7,42.1218,0.047,15.1,10.1,0.093,2.3,,0.124,0.051,0.084,0.014,0.068,,,-71.8065,,,A000680,391.5,0.044,0.43,5b1aa7c6f2a0ff00019bede4,0.031,0.039,1.7,,0.042,0.112,-446.8,,,0.014,,2018-06-06T18:00:00Z
2,,,-113.7,,,,29.1,,98.9,20.9,,,,,101.9,,38.012,-118.5,42.1218,1.323,9.9,10.0,45.883,1177.8,,30.495,36.679,4.35,4.747,21.177,,,-71.8065,,,A000680,364.3,2.195,0.5,5b1aaa3af2a0ff00019bedea,1.419,24.334,876.0,,3.44,4.206,-473.7,,,0.731,,2018-06-08T16:00:00Z
3,,,-81.1,,,,27.7,,98.9,21.5,,,,,101.8,,22.005,-84.5,42.1218,0.784,9.6,10.5,24.856,816.3,,17.424,21.392,2.472,2.519,13.58,,,-71.8065,,,A000680,362.9,1.318,0.5,5b1aaa3af2a0ff00019bedea,0.842,13.354,607.1,,1.928,2.446,-464.6,,,0.398,,2018-06-08T17:00:00Z
4,,,-106.3,,,,29.0,,98.8,21.6,,,,,101.8,,30.613,-110.8,42.1218,0.977,6.7,10.7,37.007,1053.6,,25.453,30.076,3.648,3.773,17.682,,,-71.8065,,,A000680,348.3,1.819,0.5,5b1aaa3af2a0ff00019bedea,1.161,20.002,783.6,,2.876,3.542,-473.0,,,0.593,,2018-06-08T18:00:00Z
5,,,-89.6,,,,29.1,,98.8,22.4,,,,,101.7,,24.133,-93.4,42.1218,0.816,7.1,11.1,28.631,836.4,,20.208,23.634,2.974,2.933,13.874,,,-71.8065,,,A000680,350.0,1.521,0.49,5b1aaa3af2a0ff00019bedea,0.964,15.483,622.1,,2.357,2.973,-473.6,,,0.489,,2018-06-08T19:00:00Z
6,,,-75.2,,,,29.0,,98.7,22.9,,,,,101.7,,23.698,-78.4,42.1218,0.822,7.1,11.5,28.456,663.5,,19.928,23.34,3.101,2.885,13.415,,,-71.8065,,,A000680,349.8,1.572,0.48,5b1aaa3af2a0ff00019bedea,0.996,15.221,493.4,,2.44,3.064,-473.1,,,0.506,,2018-06-08T20:00:00Z
7,,,-20.9,,,,25.8,,98.8,23.3,,,,,101.7,,6.023,-21.8,42.1218,0.259,12.2,12.1,6.349,170.5,,5.44,5.718,0.754,0.696,3.653,,,-71.8065,,,A000680,376.4,0.428,0.49,5b1aaa3af2a0ff00019bedea,0.269,3.755,126.8,,0.626,0.875,-453.1,,,0.128,,2018-06-08T21:00:00Z
8,,,-23.8,,,,25.3,,98.8,23.2,,,,,101.7,,5.195,-24.8,42.1218,0.208,10.9,12.9,5.466,177.8,,4.399,4.94,0.674,0.6,3.191,,,-71.8065,,,A000680,369.5,0.376,0.53,5b1aaa3af2a0ff00019bedea,0.231,3.042,132.2,,0.545,0.763,-449.9,,,0.117,,2018-06-08T22:00:00Z
9,,,-11.4,,,,24.1,,98.8,22.7,,,,,101.8,,2.776,-11.9,42.1218,0.126,8.4,13.3,2.852,74.4,,2.177,2.688,0.439,0.281,1.846,,,-71.8065,,,A000680,356.5,0.237,0.55,5b1aaa3af2a0ff00019bedea,0.144,1.509,55.3,,0.403,0.59,-442.7,,,0.084,,2018-06-08T23:00:00Z
