Year,doy,GrowthStage,"Height
(cm)",GreenLAI,DeadLAI,LAI,DryAGBiomass (kg/ha) ,GreenFraction,DeadFraction,StemFraction, GrainFraction,GreenLeafBiomass,DeadLeafBiomass,StemBiomass,GrainBiomass,WetAGBiomass (kg/ha)
2018,141,,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0
2018,158,V1,13.7,0.183,0,0.183,111,64.50%,0.00%,35.50%,0.00%,72,0,39,0,674
2018,169,V2,33.5,0.751,0,0.751,431,61.20%,0.00%,38.80%,0.00%,264,0,167,0,"2,459"
2018,173,V4,44.3,1.03,0,1.03,636,54.40%,0.00%,45.60%,0.00%,346,0,290,0,"3,664"
2018,180,R1,59,1.93,0,1.93,965,45.60%,0.00%,54.40%,0.00%,440,0,525,0,"6,875"
2018,187,R2,69.3,2.033,0,2.033,1554,44.60%,0.00%,55.40%,0.00%,693,0,861,0,"8,983"
2018,197,R3,85.8,3.804,0.035,3.839,3087,41.20%,0.50%,58.30%,0.00%,"1,272",16,"1,800",0,"16,651"
2018,204,R4,100.5,3.861,0.078,3.939,3930,37.60%,0.80%,59.90%,1.70%,"1,477",33,"2,354",65,"20,363"
2018,214,R5,114.2,4.211,0.183,4.394,5830,30.90%,1.30%,56.50%,11.20%,"1,801",78,"3,296",655,"27,233"
2018,228,R6,116,4.059,0.112,4.17,7799,21.90%,0.70%,49.20%,28.20%,"1,710",54,"3,834","2,201","35,203"
2018,246,R7,109,3.383,0.058,3.442,8211,16.60%,0.30%,38.20%,44.90%,"1,365",26,"3,134","3,686","34,381"
2018,263,R8,103.7,1.741,0.318,2.059,9471,6.00%,1.60%,32.20%,60.10%,572,149,"3,054","5,697","28,841"
