tenant,site_id,UTC,device,Tmean,Tmin,Tmax,Precip_1d,SWdw_sum,NDVI,ETo,ETc,Kc,U,Udir,LFW
franz-hydro,UNLCSP-3,2018-05-09 00:00:00+00:00,A000653,,,,0.855823,,,,,,,,
franz-hydro,UNLCSP-3,2018-05-10 00:00:00+00:00,A000653,19.5513,11.8004,26.6011,0.551158,27.9472,0.0138806,5.26905,-0.802349576967821,-0.152275977488841,,,
franz-hydro,UNLCSP-3,2018-05-11 00:00:00+00:00,A000653,14.7575,8.72661,19.4883,7.67427,12.9774,0.0139086,2.15147,-0.327529450727556,-0.152235165492882,,,
franz-hydro,UNLCSP-3,2018-05-12 00:00:00+00:00,A000653,12.1688,9.95608,14.2076,1.12492,6.97329,0.0108911,0.773832,-0.121206576128655,-0.156631643930654,,,
franz-hydro,UNLCSP-3,2018-05-13 00:00:00+00:00,A000653,15.3868,11.5767,23.7344,0.00201941,18.4802,0.0135101,2.70855,-0.413909545407888,-0.152815821776344,,,
franz-hydro,UNLCSP-3,2018-05-14 00:00:00+00:00,A000653,17.9194,15.0183,22.868,1.90312,17.8741,0.0138,2.59665,-0.395712472952766,-0.152393470414467,,,
franz-hydro,UNLCSP-3,2018-05-15 00:00:00+00:00,A000653,19.3907,12.9393,26.0332,,23.2896,0.0178853,3.95037,-0.578496064724383,-0.146441104516428,,,
franz-hydro,UNLCSP-3,2018-05-16 00:00:00+00:00,A000653,21.7953,11.698,30.296,,29.7934,0.0206057,5.64606,-0.804436234513331,-0.142477454296971,,,
franz-hydro,UNLCSP-3,2018-05-17 00:00:00+00:00,A000653,21.6526,12.742,28.45,,29.9893,0.0202092,5.47751,-0.7835854726432,-0.143055144182863,,,
franz-hydro,UNLCSP-3,2018-05-18 00:00:00+00:00,A000653,20.6258,14.17,26.1654,1.39016,14.8438,0.00746889,2.58096,-0.417128437756793,-0.161617823824709,,,
franz-hydro,UNLCSP-3,2018-05-19 00:00:00+00:00,A000653,15.4846,12.1762,19.8196,0.983548,7.79513,0.0317779,0.845592,-0.106713372027815,-0.126199555915221,,,
franz-hydro,UNLCSP-3,2018-05-20 00:00:00+00:00,A000653,12.9742,12.4625,13.8309,2.78919,4.60814,0.0398695,0.103384,-0.0118281799285278,-0.114410178407303,,,
franz-hydro,UNLCSP-3,2018-05-21 00:00:00+00:00,A000653,16.8579,12.177,26.2429,,19.6684,0.0348874,3.24669,-0.395021685500299,-0.121668991549805,,,
franz-hydro,UNLCSP-3,2018-05-22 00:00:00+00:00,A000653,20.8247,14.5011,30.0194,3.37724,19.5269,0.0326456,3.26863,-0.408367990456598,-0.124935410699219,,,
franz-hydro,UNLCSP-3,2018-05-23 00:00:00+00:00,A000653,24.8173,17.2602,31.5505,3.2154,28.8721,0.0262496,5.41123,-0.72648098721745,-0.134254397101568,,,
franz-hydro,UNLCSP-3,2018-05-24 00:00:00+00:00,A000653,24.9485,19.86,30.0521,,25.6363,0.0127138,4.63412,-0.713542772416282,-0.153976023457805,,,
franz-hydro,UNLCSP-3,2018-05-25 00:00:00+00:00,A000653,25.5121,17.3186,33.588,,27.6454,0.0166238,5.25044,-0.778529959077491,-0.148279104774196,,,
franz-hydro,UNLCSP-3,2018-05-26 00:00:00+00:00,A000653,28.3842,15.1273,38.5968,,30.2947,0.0180106,6.24886,-0.913948264034592,-0.146258511390581,,,
franz-hydro,UNLCSP-3,2018-05-27 00:00:00+00:00,A000653,27.9169,19.4694,35.0622,,27.9609,0.0241889,5.59319,-0.767702720574477,-0.137256718272106,,,
franz-hydro,UNLCSP-3,2018-05-28 00:00:00+00:00,A000653,26.1748,17.2507,35.7571,0.517512,26.3556,0.0287813,5.10117,-0.666037766007776,-0.130565677951358,,,
franz-hydro,UNLCSP-3,2018-05-29 00:00:00+00:00,A000653,21.5708,17.5229,29.6045,1.81979,14.8981,0.045547,2.29824,-0.243930242668149,-0.106137970216087,,,
franz-hydro,UNLCSP-3,2018-05-30 00:00:00+00:00,A000653,21.8303,17.2977,28.8594,6.15247,26.8022,0.0512817,4.39399,-0.429655514223063,-0.0977825748009989,,,
franz-hydro,UNLCSP-3,2018-05-31 00:00:00+00:00,A000653,25.6073,15.3189,36.7431,,27.8138,0.0470777,5.2599,-0.546544595518402,-0.10390775313069,,,
franz-hydro,UNLCSP-3,2018-06-01 00:00:00+00:00,A000653,26.2062,16.1896,33.1075,0.151994,28.8183,0.0510616,5.60495,-0.549863854844899,-0.09810321017018,,,
franz-hydro,UNLCSP-3,2018-06-02 00:00:00+00:00,A000653,19.3368,14.2688,24.074,23.1518,29.5047,0.0695143,4.79708,-0.34163684680557,-0.0712176597103913,,,
franz-hydro,UNLCSP-3,2018-06-03 00:00:00+00:00,A000653,19.0084,10.3582,27.4481,0.351916,30.3807,0.0616985,5.48933,-0.453447166840323,-0.0826052272729874,,,
franz-hydro,UNLCSP-3,2018-06-04 00:00:00+00:00,A000653,19.2371,10.7066,24.8023,0.00564698,23.5953,0.0730117,4.08284,-0.269965129953532,-0.0661218876739663,,,
franz-hydro,UNLCSP-3,2018-06-05 00:00:00+00:00,A000653,23.552,13.5095,32.2236,,30.1307,0.0736284,5.35673,-0.349384311228828,-0.0652233944063705,,,
franz-hydro,UNLCSP-3,2018-06-06 00:00:00+00:00,A000653,26.1785,17.9517,33.5391,0.0418467,26.1944,0.0948393,4.74315,-0.162781161559201,-0.0343192143514021,,,
franz-hydro,UNLCSP-3,2018-06-07 00:00:00+00:00,A000653,23.0684,18.4281,28.5263,0.0720483,16.7842,0.123192,2.72926,0.0190812354309235,0.00699135678017551,,,
franz-hydro,UNLCSP-3,2018-06-08 00:00:00+00:00,A000653,25.1902,16.1751,36.9354,,26.268,0.135659,4.60114,0.11574278915415,0.0251552450919714,,,
franz-hydro,UNLCSP-3,2018-06-09 00:00:00+00:00,A000653,26.6909,19.114,40.1609,8.47707,25.8321,0.155769,4.67832,0.254761742211864,0.0544558204503132,,,
franz-hydro,UNLCSP-3,2018-06-10 00:00:00+00:00,A000653,25.7383,21.5902,30.6058,0.0460856,26.7847,0.170385,4.83927,0.36658270348393,0.0757515783736783,,,
franz-hydro,UNLCSP-3,2018-06-11 00:00:00+00:00,A000653,24.4232,20.2594,33.7265,10.6445,17.9014,0.201072,3.03838,0.36600796200398,0.120461492659859,,,
franz-hydro,UNLCSP-3,2018-06-12 00:00:00+00:00,A000653,20.5207,16.9155,25.7432,0.472654,10.7784,0.15503,1.75611,0.0937394879564702,0.0533789276264629,,,
franz-hydro,UNLCSP-3,2018-06-12 00:00:00+00:00,A000653,25.5293,18.0477,29.6303,,11.0998,0.159184,2.40354,0.142846088443422,0.0594315597769042,,,
