date,GridCellID,Tmin,Tmax,Tavg,RH_min,RH_max,P,SLP,U,Udir,Precip_1d,Snow_1d,SWdw_sum,ETo_sum
2018-05-09 00:00:00+00:00,2244575846,16.0,26.3,20.8,0.38,0.81,96.46,100.85,4.4,304,0.0,0.0,7768,5.688
2018-05-10 00:00:00+00:00,2244575846,14.4,25.3,19.5,0.42,0.83,96.74,101.14,3.1,139,0.0,0.0,7602,5.448
2018-05-11 00:00:00+00:00,2244575846,12.4,22.2,18.0,0.53,0.87,96.36,100.77,4.8,60,0.00254,0.0,7652,5.184
2018-05-12 00:00:00+00:00,2244575846,10.9,21.0,13.5,0.61,0.88,96.72,101.19,4.6,34,0.043,0.0,3731,3.7199999999999998
2018-05-13 00:00:00+00:00,2244575846,11.4,26.2,15.3,0.58,0.94,96.91,101.37,2.4,43,0.055,0.0,4901,4.5120000000000005
2018-05-14 00:00:00+00:00,2244575846,11.6,25.1,16.8,0.59,0.95,96.79,101.25,2.8,241,0.171,0.0,4758,4.247999999999999
2018-05-15 00:00:00+00:00,2244575846,13.1,25.1,19.0,0.48,0.95,96.98,101.41,2.2,79,0.108,0.0,7857,5.112
2018-05-16 00:00:00+00:00,2244575846,13.7,29.5,20.7,0.38,0.88,97.01,101.42,1.4,140,0.0,0.0,7880,5.448
2018-05-17 00:00:00+00:00,2244575846,15.3,28.4,21.8,0.35,0.92,96.92,101.33,2.9,144,0.00254,0.0,8111,6.0
2018-05-18 00:00:00+00:00,2244575846,15.4,26.9,21.7,0.38,0.72,96.7,101.09,3.2,154,0.032,0.0,6099,6.192
2018-05-19 00:00:00+00:00,2244575846,10.6,23.5,17.4,0.59,0.85,96.75,101.19,3.7,206,0.215,0.0,3281,3.4079999999999995
2018-05-20 00:00:00+00:00,2244575846,10.8,15.4,12.7,0.75,0.94,97.28,101.79,3.2,169,0.771,0.0,1030,1.944
2018-05-21 00:00:00+00:00,2244575846,11.0,23.9,15.3,0.51,0.97,97.2,101.68,1.9,269,0.128,0.0,6848,4.632
2018-05-22 00:00:00+00:00,2244575846,15.5,29.9,21.2,0.45,0.79,96.95,101.35,3.8,157,0.243,0.0,8009,6.048
2018-05-23 00:00:00+00:00,2244575846,19.7,32.1,25.5,0.34,0.76,97.01,101.4,4.5,161,0.00254,0.0,8158,7.295999999999999
2018-05-24 00:00:00+00:00,2244575846,21.9,32.0,26.3,0.4,0.82,97.03,101.4,4.2,176,1.055,0.0,6764,6.720000000000001
2018-05-25 00:00:00+00:00,2244575846,17.8,33.6,24.5,0.31,0.9,96.61,100.97,2.7,210,0.998,0.0,7936,6.192
2018-05-26 00:00:00+00:00,2244575846,20.7,36.7,28.0,0.26,0.55,96.29,100.61,1.9,166,0.015,0.0,8362,6.792
2018-05-27 00:00:00+00:00,2244575846,22.5,36.5,29.5,0.23,0.46,96.39,100.73,3.5,183,0.0,0.0,8133,8.328
2018-05-28 00:00:00+00:00,2244575846,21.2,33.9,28.7,0.29,0.6,96.73,101.06,2.5,178,0.0,0.0,7539,7.199999999999999
2018-05-29 00:00:00+00:00,2244575846,20.4,31.1,24.1,0.44,0.8,96.57,100.96,1.7,190,0.304,0.0,3600,5.112
2018-05-30 00:00:00+00:00,2244575846,14.6,28.8,21.4,0.42,0.97,96.12,100.5,2.9,221,0.827,0.0,7804,5.6160000000000005
2018-05-31 00:00:00+00:00,2244575846,20.0,33.6,25.9,0.3,0.65,96.11,100.46,2.4,261,0.0,0.0,7747,6.672000000000001
2018-06-01 00:00:00+00:00,2244575846,19.2,33.5,26.7,0.32,0.63,96.44,100.78,3.2,162,0.0,0.0,8505,7.584
